id,lon,lat
pt_ll_72,10.08,48.059999999999995
pt_ll_73,8.28,47.879999999999995
pt_ll_74,8.64,47.16
pt_ll_75,10.08,47.339999999999996
pt_ll_76,11.28,47.64
pt_ll_77,12.72,47.76
pt_ll_78,12.72,48.0
pt_ll_79,13.68,48.239999999999995
pt_ll_80,14.64,48.239999999999995
pt_ll_81,15.12,48.6
pt_ll_82,15.84,48.96
pt_ll_83,22.32,53.28
pt_ll_84,21.96,53.04
pt_ll_85,21.6,53.04
pt_ll_86,20.88,53.04
pt_ll_87,19.44,53.04
pt_ll_88,19.8,53.04
pt_ll_89,19.44,52.559999999999995
pt_ll_90,19.44,52.379999999999995
pt_ll_91,19.8,52.199999999999996
pt_ll_92,18.72,52.199999999999996
pt_ll_93,18.0,52.44
pt_ll_94,17.28,52.199999999999996
pt_ll_95,16.2,52.559999999999995
pt_ll_96,15.36,52.199999999999996
pt_ll_97,14.52,52.199999999999996
pt_ll_98,14.58,51.48
pt_ll_99,15.12,51.12
pt_ll_100,15.3,50.879999999999995
pt_ll_101,15.12,50.76
pt_ll_102,14.76,50.16
pt_ll_103,15.0,50.16
pt_ll_104,15.3,49.739999999999995
pt_ll_105,14.52,49.68
pt_ll_106,14.76,49.32
pt_ll_107,15.84,48.96
pt_ll_108,13.68,53.519999999999996
pt_ll_109,14.52,53.76
pt_ll_110,13.68,52.92
pt_ll_111,13.32,52.8
pt_ll_112,14.4,53.04
pt_ll_113,13.68,52.559999999999995
pt_ll_114,14.94,52.68
pt_ll_115,15.36,53.28
pt_ll_116,15.48,52.8
pt_ll_5144,16.38,53.16
pt_ll_117,16.56,52.92
pt_ll_118,16.92,52.559999999999995
pt_ll_119,14.52,52.559999999999995
pt_ll_120,16.56,52.32
pt_ll_121,15.12,52.379999999999995
pt_ll_122,17.28,52.92
pt_ll_123,18.0,52.8
pt_ll_124,19.62,52.8
pt_ll_125,19.26,52.68
pt_ll_126,17.28,52.379999999999995
pt_ll_127,18.72,52.559999999999995
pt_ll_128,13.32,52.199999999999996
pt_ll_129,12.84,51.839999999999996
pt_ll_130,14.4,51.839999999999996
pt_ll_131,13.68,51.66
pt_ll_132,14.4,51.6
pt_ll_133,12.96,51.48
pt_ll_134,13.68,51.48
pt_ll_5145,14.4,51.36
pt_ll_135,12.96,51.66
pt_ll_136,14.88,50.879999999999995
pt_ll_137,12.06,50.879999999999995
pt_ll_138,12.06,50.58
pt_ll_5146,12.6,50.94
pt_ll_139,12.06,50.22
pt_ll_140,13.44,50.76
pt_ll_141,12.96,50.04
pt_ll_142,14.94,50.28
pt_ll_143,13.92,50.04
pt_ll_144,14.76,49.92
pt_ll_145,15.12,49.68
pt_ll_146,11.34,49.8
pt_ll_147,11.16,49.44
pt_ll_148,12.12,49.68
pt_ll_149,12.96,49.08
pt_ll_150,13.68,49.14
pt_ll_151,14.4,48.96
pt_ll_152,15.12,48.96
pt_ll_153,15.66,48.96
pt_ll_154,14.22,48.3
pt_ll_155,11.52,48.72
pt_ll_156,12.48,48.72
pt_ll_157,13.44,48.239999999999995
pt_ll_158,12.96,48.0
pt_ll_159,10.62,47.519999999999996
pt_ll_160,10.8,48.059999999999995
pt_ll_161,10.8,47.699999999999996
pt_ll_162,12.6,48.059999999999995
pt_ll_163,23.52,53.82
pt_ll_164,21.6,54.239999999999995
pt_ll_165,21.6,54.48
pt_ll_166,20.88,55.44
pt_ll_167,22.8,55.44
pt_ll_168,21.84,55.62
pt_ll_169,21.84,55.199999999999996
pt_ll_170,21.84,55.44
pt_ll_171,16.56,49.199999999999996
pt_ll_172,17.28,49.32
pt_ll_173,13.92,47.76
pt_ll_174,3.12,37.08
pt_ll_175,4.56,38.16
pt_ll_176,6.48,38.16
pt_ll_177,8.64,36.9
pt_ll_178,10.08,38.88
pt_ll_179,3.36,36.96
pt_ll_180,3.84,36.72
pt_ll_181,8.64,37.8
pt_ll_182,4.32,36.54
pt_ll_183,4.32,36.24
pt_ll_184,4.14,36.06
pt_ll_185,4.44,36.12
pt_ll_186,4.5,36.06
pt_ll_187,4.68,36.06
pt_ll_188,4.92,36.06
pt_ll_189,5.22,36.12
pt_ll_190,5.4,36.12
pt_ll_5646,5.4,36.18
pt_ll_191,5.52,36.24
pt_ll_192,5.76,36.66
pt_ll_193,6.12,36.72
pt_ll_194,6.36,37.08
pt_ll_195,6.66,36.9
pt_ll_196,7.02,36.9
pt_ll_197,7.38,36.9
pt_ll_198,7.8,36.78
pt_ll_199,7.74,36.84
pt_ll_200,8.16,36.78
pt_ll_201,8.28,36.6
pt_ll_202,8.46,36.84
pt_ll_203,6.6,38.04
pt_ll_204,6.84,37.92
pt_ll_205,6.48,37.8
pt_ll_206,7.02,37.56
pt_ll_207,6.66,37.56
pt_ll_208,7.2,37.62
pt_ll_209,6.72,37.5
pt_ll_210,6.84,37.44
pt_ll_211,7.32,37.44
pt_ll_212,6.3,37.26
