Ptolemy,label,Pleiades
pt_ll_2190,Lilaia (Λίλαια),540915
pt_ll_2191,Amphissa (Ἄμφισσα),540630
pt_ll_2194,Delphoi (Δελφοί),540726
pt_ll_2195,Daulis (Δαυλίς),540723
pt_ll_2197,Aigostheneia (Αἰγοσθένεια),570051
pt_ll_2200,Thisbē (Θίσβη),541146
pt_ll_2201,Thespiai (Θεσπιαί),541141
pt_ll_2204,Huampolis (Ὑάμπολις),540820
pt_ll_2205,Khairōneia (Χαιρώνεια),540701
pt_ll_2206,Lebadeia (Λεβάδεια),540907
pt_ll_2207,Kōpai (Κῶπαι),540878
pt_ll_2208,Haliartos (Ἁλίαρτος),540801
pt_ll_2209,Plataiai (Πλαταιαί),541063
pt_ll_2211,Tanagra (Τάναγρα),580114
pt_ll_2216,Athēnai (Ἀθῆναι),579885
pt_ll_2217,Rhamnous (Ῥαμνοῦς),580097
pt_ll_2218,Marathōn (Μαραθών),580021
pt_ll_2219,Anaphlustos (Ἀνάφλυστος),579866
pt_ll_2224,Eretria (Ἐρέτρια),579925
pt_ll_2225,Amarunthos (Ἀμάρυνθος),579859
pt_ll_2228,Karustos (Κάρυστος),570336
pt_ll_2234,Kērinthos (Κήρινθος),540861
pt_ll_5879,Passalos ē Passalōn (Πάσσαλος ἢ Πασσάλων),759604
pt_ll_5880,Panopolis (Πανόπολις),756613
pt_ll_2920,Khnoubis (Χνουβίς),789737
pt_ll_2924,Suēnē (Συήνη),786123
pt_ll_5328,Philai (Φιλαί),786089
pt_ll_3271,Telmēssos (Τελμησσός),639137
pt_ll_3274,Antiphellos (Ἀντίφελλος),638749
pt_ll_3275,Andriakē (Ἀνδριάκη),638745
pt_ll_3280,Phasēlis (Φασηλίς),639051
pt_ll_3285,Siduma (Σίδυμα),639108
pt_ll_3286,Pinara (Πινάρα),639058
pt_ll_3287,Araxa (Ἄραξα),638760
pt_ll_5917,Tlō (Τλώ),639147
pt_ll_3288,Xanthos (Ξάνθος),639166
pt_ll_3289,Korudalla (Κορύδαλλα),638937
pt_ll_5430,Sagalassos (Σαγαλασσός),639087
pt_ll_3291,Trebendai (Τρεβένδαι),639150
pt_ll_3292,Phellos (Φελλός),639052
pt_ll_3293,Mura (Μύρα),639005
pt_ll_3294,Limura (Λιμύρα),638961
pt_ll_3295,Podalaia (Ποδαλαία),639065
