passage	continent	province	siteType	id	text	lonStr	latStr	lon	lonDeg	lonFract	lat	latDeg	latFract	adjustedLon	adjustedLat
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-4.5.28/	Libya	marmarice	interior-poleis	pt_ll_2838	Μιγώ  (Migō )	νγʹβ"	κηʹβ"	53.5	53	0.5	28.5	28	0.5	25.200000000000003	30.6
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-4.5.28/	Libya	marmarice	interior-poleis	pt_ll_2839	Σαράγινα  (Saragina )	νγʹδ"	κηʹ	53.25	53	0.25	28.0	28	0.0	25.020000000000003	30.240000000000002
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-4.5.28/	Libya	marmarice	interior-poleis	pt_ll_2840	Ἀλώ  (Alō )	νδʹβ"	κηʹβ"	54.5	54	0.5	28.5	28	0.5	25.92	30.6
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-4.5.28/	Libya	marmarice	interior-poleis	pt_ll_2841	Μαζάκιλα ἢ Μαζάκουλα  (Mazakila ē Mazakoula )	νδʹγ"	κϛʹβ"	54.333	54	0.333	26.5	26	0.5	25.799999999999997	29.159999999999997
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-4.5.28/	Libya	marmarice	interior-poleis	pt_ll_2842	Βίλλα  (Billa )	νδʹβ"	κεʹβ ϛ"	54.5	54	0.5	25.667	25	0.667	25.92	28.560000000000002
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-4.5.29/	Libya	marmarice	interior-poleis	pt_ll_2843	τὰ Αὔγιλα  (ta Augila )	νβʹβ"	κηʹ	52.5	52	0.5	28.0	28	0.0	24.479999999999997	30.240000000000002
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-4.5.29/	Libya	marmarice	interior-poleis	pt_ll_2844	 Μάγρου τόπος  ( Magrou topos )	νδʹγ"	κζʹβ  γ"	54.333	54	0.333	27.833	27	0.833	25.799999999999997	30.119999999999997
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-4.5.30/	Libya	marmarice	interior-poleis	pt_ll_2845	Τάχορσα  (Takhorsa )	νδʹβ"	λʹβ  γ"	54.5	54	0.5	30.833	30	0.833	25.92	32.28
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-4.5.30/	Libya	marmarice	interior-poleis	pt_ll_2846	Ἀζικίς  (Azikis )	νεʹ	λαʹ	55.0	55	0.0	31.0	31	0.0	26.28	32.4
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-4.5.30/	Libya	marmarice	interior-poleis	pt_ll_2847	Νεμέσιον  (Nemesion )	νεʹβ"	λʹβ  γ"	55.5	55	0.5	30.833	30	0.833	26.64	32.28
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-4.5.30/	Libya	marmarice	interior-poleis	pt_ll_2848	Τισάρχου ἢ Τρισάρχου  (Tisarkhou ē Trisarkhou )	νεʹβ  γ"	λʹβ  γ"	55.833	55	0.833	30.833	30	0.833	26.880000000000003	32.28
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-4.5.30/	Libya	marmarice	interior-poleis	pt_ll_2849	Φίλωνος  (Philōnos )	νεʹβ  γ"	λʹβ"	55.833	55	0.833	30.5	30	0.5	26.880000000000003	32.04
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-4.5.30/	Libya	marmarice	interior-poleis	pt_ll_2850	Σωφάνους  (Sōphanous )	νϛʹβ"	λʹβ  γ"	56.5	56	0.5	30.833	30	0.833	27.36	32.28
