id,lon,lat
pt_ll_153,2.34,38.88
pt_ll_154,0.9000000000000004,38.22
pt_ll_155,-1.8000000000000007,38.64
pt_ll_156,-0.8399999999999999,38.64
pt_ll_157,0.11999999999999922,38.16
pt_ll_158,-0.35999999999999943,37.92
pt_ll_159,-2.700000000000001,37.44
pt_ll_160,-2.5199999999999996,37.98
pt_ll_161,-2.5199999999999996,37.62
pt_ll_162,-0.7200000000000006,37.98
pt_ll_163,10.2,43.74
pt_ll_164,8.280000000000001,44.16
pt_ll_165,8.280000000000001,44.4
pt_ll_166,7.559999999999999,45.36
pt_ll_167,9.48,45.36
pt_ll_168,8.52,45.54
pt_ll_169,8.52,45.12
pt_ll_170,8.52,45.36
pt_ll_171,3.2399999999999984,39.12
pt_ll_172,3.960000000000001,39.24
pt_ll_173,0.5999999999999996,37.68
pt_ll_174,-10.2,27.0
pt_ll_175,-8.760000000000002,28.08
pt_ll_176,-6.84,28.08
pt_ll_177,-4.68,26.82
pt_ll_178,-3.24,28.8
pt_ll_179,-9.96,26.88
pt_ll_180,-9.48,26.64
pt_ll_181,-4.68,27.72
pt_ll_182,-9.0,26.46
pt_ll_183,-9.0,26.16
pt_ll_184,-9.18,25.98
pt_ll_185,-8.879999999999999,26.04
pt_ll_186,-8.82,25.98
pt_ll_187,-8.64,25.98
pt_ll_188,-8.4,25.98
pt_ll_189,-8.100000000000001,26.04
pt_ll_190,-7.92,26.04
pt_ll_5646,-7.92,26.1
pt_ll_191,-7.800000000000001,26.16
pt_ll_192,-7.5600000000000005,26.58
pt_ll_193,-7.2,26.64
pt_ll_194,-6.96,27.0
pt_ll_195,-6.66,26.82
pt_ll_196,-6.300000000000001,26.82
pt_ll_197,-5.94,26.82
pt_ll_198,-5.5200000000000005,26.7
pt_ll_199,-5.58,26.76
pt_ll_200,-5.16,26.7
pt_ll_201,-5.040000000000001,26.52
pt_ll_202,-4.859999999999999,26.76
pt_ll_203,-6.720000000000001,27.96
pt_ll_204,-6.48,27.84
pt_ll_205,-6.84,27.72
pt_ll_206,-6.300000000000001,27.48
pt_ll_207,-6.66,27.48
pt_ll_208,-6.12,27.54
pt_ll_209,-6.6000000000000005,27.42
pt_ll_210,-6.48,27.36
pt_ll_211,-6.0,27.36
pt_ll_212,-7.0200000000000005,27.18
pt_ll_213,-7.08,26.94
pt_ll_214,-7.38,26.88
pt_ll_215,-7.0200000000000005,26.88
pt_ll_216,-7.5600000000000005,26.76
pt_ll_217,-7.92,26.64
pt_ll_218,-8.280000000000001,26.4
pt_ll_5147,-8.82,26.58
pt_ll_219,-8.879999999999999,26.16
pt_ll_220,-6.36,27.36
pt_ll_221,-6.36,27.18
pt_ll_222,-6.48,27.0
pt_ll_223,-6.24,27.0
pt_ll_224,-6.36,26.94
pt_ll_225,-6.0,27.18
pt_ll_226,-5.94,27.0
pt_ll_5150,-5.82,27.24
pt_ll_227,-5.94,26.88
pt_ll_228,-5.4,27.12
pt_ll_229,-9.96,27.36
pt_ll_230,-9.96,27.18
pt_ll_231,-9.72,26.82
